,date,market_code,market_name,mean_price,quantity
2850,101.08.21,950,花蓮市,39.03197985520932,9531.0
2851,101.08.22,104,台北二,28.34144223508683,158920.0
2852,101.08.22,109,台北一,26.278332119446468,497026.0
2853,101.08.22,241,三重區,30.64940384530776,22729.0
2854,101.08.22,338,桃農,21.67078108204944,5582.0
2855,101.08.22,400,台中市,28.200176099507363,44861.0
2856,101.08.22,514,溪湖鎮,33.897131552917905,10110.0
2857,101.08.22,540,南投市,36.961024949426836,2966.0
2858,101.08.22,648,西螺鎮,32.078215778668906,376052.0
2859,101.08.22,800,高雄市,29.56920343932511,61640.0
2860,101.08.22,830,鳳山區,16.84726974514257,39630.0
2861,101.08.22,900,屏東市,27.314321912526164,18154.0
2862,101.08.22,950,花蓮市,38.84456053067993,12060.0
2863,101.08.23,104,台北二,25.634498423434316,227393.0
2864,101.08.23,109,台北一,25.190249995973286,558769.0
2865,101.08.23,241,三重區,30.87065185136338,30329.0
2866,101.08.23,338,桃農,23.37858938340973,6763.0
2867,101.08.23,400,台中市,28.896414545454547,55000.0
2868,101.08.23,514,溪湖鎮,36.40453074433657,9270.0
2869,101.08.23,540,南投市,33.57425684658335,3761.0
2870,101.08.23,648,西螺鎮,30.76486030123601,355336.0
2871,101.08.23,800,高雄市,30.062363376925234,67979.0
2872,101.08.23,830,鳳山區,17.31059948076469,42370.0
2873,101.08.23,900,屏東市,28.17935403283369,22416.0
2874,101.08.23,950,花蓮市,37.56509504846344,13309.0
2875,101.08.24,104,台北二,23.334061271188325,180052.0
2876,101.08.24,109,台北一,24.20518054082297,444027.0
2877,101.08.24,241,三重區,27.760671568089542,27339.0
2878,101.08.24,338,桃農,23.948906560636186,6036.0
2879,101.08.24,400,台中市,27.188571598903064,50322.0
2880,101.08.24,514,溪湖鎮,33.54659498207885,11160.0
2881,101.08.24,540,南投市,32.64891628812459,3082.0
2882,101.08.24,800,高雄市,32.61278774135917,58212.0
2883,101.08.24,830,鳳山區,19.462615250163864,45770.0
2884,101.08.24,900,屏東市,25.99162017206004,27781.0
2885,101.08.24,950,花蓮市,35.41192052980133,8456.0
2886,101.08.23,648,西螺鎮,28.5,172430.0
2887,101.08.25,104,台北二,24.714719770384548,64804.0
2888,101.08.25,109,台北一,22.577976902377042,321072.0
2889,101.08.25,241,三重區,23.69717125382263,13080.0
2890,101.08.25,338,桃農,24.126984126984127,2520.0
2891,101.08.25,400,台中市,24.136200046739894,25674.0
2892,101.08.25,514,溪湖鎮,33.235339506172835,12960.0
2893,101.08.25,540,南投市,32.603442136498515,2022.0
2894,101.08.25,648,西螺鎮,28.5,177196.0
2895,101.08.25,800,高雄市,31.552318572691473,49772.0
2896,101.08.25,830,鳳山區,20.58742715156991,44270.0
2897,101.08.25,900,屏東市,24.55191422827787,22385.0
2898,101.08.25,950,花蓮市,33.01432846988403,2673.0
2899,101.08.26,104,台北二,27.783059824762997,55696.0
2900,101.08.26,109,台北一,21.677747617232175,327875.0
2901,101.08.26,241,三重區,22.654611357229157,4966.0
2902,101.08.26,338,桃農,21.582870022539442,3993.0
2903,101.08.26,400,台中市,22.020144494492264,22423.0
2904,101.08.26,514,溪湖鎮,34.05263157894737,11780.0
2905,101.08.26,540,南投市,30.864158415841583,1818.0
2906,101.08.26,648,西螺鎮,28.64457204634465,196096.0
2907,101.08.26,800,高雄市,28.857182587199194,51778.0
2908,101.08.26,830,鳳山區,19.579597662396043,44490.0
2909,101.08.26,900,屏東市,22.96207936316488,16582.0
2910,101.08.25,950,花蓮市,39.56281690140845,532.5
2911,101.08.27,514,溪湖鎮,34.84442060085837,9320.0
2912,101.08.27,648,西螺鎮,42.16005678095654,137370.0
2913,101.08.27,950,花蓮市,31.343478260869563,8452.5
2914,101.08.26,104,台北二,28.46026986897288,38389.0
2915,101.08.26,109,台北一,22.671055518408625,191432.0
2916,101.08.26,241,三重區,22.0396449704142,4056.0
2917,101.08.26,338,桃農,21.344454628780934,3273.0
2918,101.08.26,400,台中市,22.384311407057066,16069.0
2919,101.08.26,540,南投市,34.5,915.0
2920,101.08.26,800,高雄市,28.62354388843314,26818.0
2921,101.08.26,830,鳳山區,19.168674033149173,23530.0
2922,101.08.26,900,屏東市,22.1,7052.0
2923,101.08.28,104,台北二,27.106638550926906,65918.0
2924,101.08.28,109,台北一,24.68799040694694,224329.0
2925,101.08.28,241,三重區,28.24038567493113,9075.0
2926,101.08.28,338,桃農,21.337007874015747,4445.0
2927,101.08.28,400,台中市,20.611991030933087,19623.0
2928,101.08.28,514,溪湖鎮,40.24444444444445,8100.0
2929,101.08.28,540,南投市,30.5,1854.0
2930,101.08.28,648,西螺鎮,39.65843239143657,266342.0
2931,101.08.28,800,高雄市,30.327956028856065,29110.0
2932,101.08.28,830,鳳山區,17.59183823529412,21760.0
2933,101.08.28,900,屏東市,25.237370769398193,9189.0
2934,101.08.28,950,花蓮市,29.11571378566011,17141.0
2935,101.08.29,104,台北二,24.900650407950813,112391.0
2936,101.08.29,109,台北一,23.866633318980078,387833.0
2937,101.08.29,241,三重區,26.06874111963626,17595.0
2938,101.08.29,338,桃農,19.14417086110733,7351.0
2939,101.08.29,400,台中市,20.939334852205818,33797.0
2940,101.08.29,514,溪湖鎮,39.68437180796732,9790.0
2941,101.08.29,540,南投市,31.243695920889987,2427.0
2942,101.08.29,648,西螺鎮,33.82200554312619,299470.0
2943,101.08.29,800,高雄市,32.47418474251144,54216.0
2944,101.08.29,830,鳳山區,17.510730374223122,45374.0
2945,101.08.29,900,屏東市,25.272449614629707,20889.0
2946,101.08.29,950,花蓮市,26.267719172736733,15376.0
2947,101.08.30,104,台北二,22.21880253001715,93280.0
2948,101.08.30,109,台北一,22.8582193569352,344662.0
2949,101.08.30,241,三重區,24.21553459119497,15900.0
2950,101.08.30,338,桃農,16.93256191636216,4926.0
2951,101.08.30,400,台中市,20.93226360659989,30849.0
2952,101.08.30,514,溪湖鎮,36.501855287569576,10780.0
2953,101.08.30,540,南投市,34.27422009569378,2090.0
2954,101.08.30,648,西螺鎮,31.40168829700191,300658.0
2955,101.08.30,800,高雄市,35.29686642268984,52464.0
2956,101.08.30,830,鳳山區,16.837217921201898,52184.0
2957,101.08.30,900,屏東市,25.159633072168962,20549.0
2958,101.08.30,950,花蓮市,26.33628283059984,17438.0
2959,101.08.31,104,台北二,23.820047966273044,92982.0
2960,101.08.31,109,台北一,22.5848098771246,390721.0
2961,101.08.31,241,三重區,22.693079977311402,17630.0
2962,101.08.31,338,桃農,17.07336956521739,3680.0
2963,101.08.31,400,台中市,20.651597718837692,33141.0
2964,101.08.31,514,溪湖鎮,35.074,10000.0
2965,101.08.31,540,南投市,36.06119139123751,2602.0
2966,101.08.31,800,高雄市,33.52985537000714,54553.0
2967,101.08.31,830,鳳山區,15.821347992351818,62760.0
2968,101.08.31,900,屏東市,22.852394533571005,16830.0
2969,101.08.30,648,西螺鎮,31.2,149060.0
2970,101.08.30,950,花蓮市,26.92910562299428,10750.5
2971,101.09.01,104,台北二,25.21435373182815,98504.0
2972,101.09.01,109,台北一,21.712529117050543,398392.0
2973,101.09.01,241,三重區,21.565904990980158,16630.0
2974,101.09.01,338,桃農,16.557777777777776,2700.0
2975,101.09.01,400,台中市,21.33027282266527,30496.0
2976,101.09.01,514,溪湖鎮,34.0,8280.0
2977,101.09.01,648,西螺鎮,31.2,119752.0
2978,101.09.01,830,鳳山區,16.054489952153112,52250.0
2979,101.09.01,900,屏東市,21.730742539902845,11528.0
2980,101.08.31,540,南投市,38.23,1085.0
2981,101.08.31,800,高雄市,31.443758043758045,27195.0
2982,101.09.02,104,台北二,27.467798444231196,97958.0
2983,101.09.02,109,台北一,23.488866450607738,368418.0
2984,101.09.02,241,三重區,25.08949256791389,9755.0
2985,101.09.02,338,桃農,19.89937106918239,2385.0
2986,101.09.02,400,台中市,22.948860346585114,24525.0
2987,101.09.02,648,西螺鎮,31.051840140535795,136620.0
2988,101.09.02,900,屏東市,28.54030705774519,8728.0
2989,101.09.02,950,花蓮市,23.64841558441558,11550.0
2990,101.09.01,514,溪湖鎮,34.0,3650.0
2991,101.09.01,830,鳳山區,17.32,18060.0
2992,101.09.03,514,溪湖鎮,34.0,4710.0
2993,101.09.03,648,西螺鎮,31.084416934093166,175126.0
2994,101.09.03,800,高雄市,29.169369809477285,20470.0
2995,101.09.03,950,花蓮市,20.83262401150251,20865.0
2996,101.09.02,104,台北二,29.82829560148151,45629.0
2997,101.09.02,109,台北一,25.990784513528112,179589.0
