,P,Q,t
5896,3.834737325777301,130580.0,102.04.16
5910,3.910868961504384,151238.0,102.04.17
5924,4.165896508452056,135470.0,102.04.18
5938,4.469009596965934,103887.0,102.04.19
5952,5.036778693722257,126160.0,102.04.20
5973,5.268656716417911,82410.0,102.04.20
5975,5.21323997453851,78550.0,102.04.22
5994,5.379449838187703,86520.0,102.04.23
6008,9.29728611127535,33826.0,102.04.24
6022,8.591460707414534,54056.0,102.04.25
6036,7.667956265769554,59450.0,102.04.26
6050,8.245506025845797,68870.0,102.04.27
6070,8.449441786283892,37620.0,102.04.27
6073,8.836927550278652,41270.0,102.04.29
6092,9.08924973331753,84370.0,102.04.30
6107,9.168159979223477,77010.0,102.05.01
6122,9.069264069264069,71610.0,102.05.02
6137,9.323322704496649,76835.0,102.05.03
6152,9.48726562999936,78135.0,102.05.04
6174,9.5,39000.0,102.05.04
6176,11.8,26200.0,102.05.06
6197,12.646743295019157,52200.0,102.05.07
6212,13.5,46000.0,102.05.08
6227,13.91904761904762,42000.0,102.05.09
6242,14.402004454342984,44900.0,102.05.10
6257,14.314882237027309,42628.0,102.05.11
6278,14.1,19728.0,102.05.11
6281,13.5,21000.0,102.05.13
6301,13.650391830919022,42110.0,102.05.14
6316,13.8,41610.0,102.05.15
6331,13.645907473309608,42150.0,102.05.16
6345,13.68208516886931,34050.0,102.05.17
6361,14.053558052434456,26700.0,102.05.18
6383,14.1,14300.0,102.05.18
6385,14.0,14800.0,102.05.20
6406,14.468503937007874,19050.0,102.05.21
6420,16.022666666666666,18750.0,102.05.22
6435,16.0,31200.0,102.05.23
6450,16.0,33690.0,102.05.24
6465,16.151788310555393,34390.0,102.05.25
6486,16.3,17400.0,102.05.25
6489,15.0,14400.0,102.05.27
6510,15.051726449882668,29830.0,102.05.28
6525,15.20022631749111,30930.0,102.05.29
6540,15.400958466453677,31300.0,102.05.30
6555,16.473363431151242,26580.0,102.05.31
6578,17.9,10780.0,102.05.31
6613,21.0,815.0,102.06.04
6636,21.0,815.0,102.06.04
6643,19.5,3403.0,102.06.06
6666,19.5,3403.0,102.06.06
6715,18.0,1404.0,102.06.11
6736,18.0,1404.0,102.06.11
6761,36.0,40.0,102.06.15
6783,36.0,40.0,102.06.15
6931,10.0,413.0,102.06.27
6954,10.0,413.0,102.06.27
7081,10.0,206.0,102.07.08
7110,10.0,206.0,102.07.08
7117,11.0,290.0,102.07.10
7140,11.0,290.0,102.07.10
7202,7.0,1044.0,102.07.16
7225,7.0,1044.0,102.07.16
7232,11.0,116.0,102.07.18
7255,11.0,116.0,102.07.18
7332,13.0,321.0,102.07.25
7347,10.728993186979562,1321.0,102.07.26
7370,10.0,1000.0,102.07.26
7699,13.0,170.0,102.08.20
7720,13.0,170.0,102.08.20
7736,20.0,1630.0,102.08.23
7753,20.0,1630.0,102.08.23
8558,27.6,3383.0,102.10.22
8573,26.36714217328865,10445.0,102.10.23
8588,25.9459635143636,14307.0,102.10.24
8603,26.19093342726313,14195.0,102.10.25
8618,26.138463774435,13761.0,102.10.26
8639,26.0,6811.0,102.10.26
8642,28.0,512.0,102.10.28
8663,25.5497949619215,1707.0,102.10.29
8678,26.76064315352697,4820.0,102.10.30
8693,27.90234110380554,10038.0,102.10.31
8708,28.237497260574184,9126.0,102.11.01
8723,25.5825420148774,10889.0,102.11.02
8745,24.614456947162424,8176.0,102.11.02
8747,26.33562905589282,4777.0,102.11.04
8768,25.55243932336357,8158.0,102.11.05
8783,24.088466395397784,7127.0,102.11.06
8798,18.693232055633743,24158.0,102.11.07
8813,17.49036331726211,49571.0,102.11.08
8828,17.16712901931564,52341.0,102.11.09
8849,17.0,23182.0,102.11.09
8852,16.3,21067.0,102.11.11
8873,15.290423180377642,37549.0,102.11.12
8888,13.89302677532014,34360.0,102.11.13
8903,13.498092657528424,37644.0,102.11.14
8918,12.441310244611286,41290.0,102.11.15
8933,11.424378553639396,42562.0,102.11.16
8955,11.125035649776594,21038.0,102.11.16
8957,10.816011847721928,22958.0,102.11.18
8978,10.710250981325087,42035.0,102.11.19
8992,10.472345705084209,37882.0,102.11.20
9006,10.240137516115167,34905.0,102.11.21
9021,10.1,33653.0,102.11.22
9036,10.282842787123467,40601.0,102.11.23
9057,10.422093023255814,23048.0,102.11.23
9060,9.2,19716.0,102.11.25
9081,9.2,34463.0,102.11.26
9096,9.10649912007163,32389.0,102.11.27
9111,9.114034364615266,38819.0,102.11.28
9126,9.129915196658194,39739.0,102.11.29
9141,9.08960919882041,40353.0,102.11.30
9163,9.10921940250562,21791.0,102.11.30
9165,9.13365155131265,12989.0,102.12.02
9186,9.369954659310697,31539.0,102.12.03
9201,9.11329945827909,47626.0,102.12.04
9216,8.70399979257774,57853.0,102.12.05
9231,8.693295506424052,61332.0,102.12.06
9246,8.703021074799631,66003.0,102.12.07
9267,8.6,33448.0,102.12.07
9270,9.114769790370442,31341.0,102.12.09
9291,9.056090943113771,64128.0,102.12.10
9306,8.945359389895138,52450.0,102.12.11
9321,8.594159076581962,46003.0,102.12.12
9336,8.5576036617231,55493.0,102.12.13
9351,8.290182858481254,59773.0,102.12.14
9373,7.9,30620.0,102.12.14
9375,7.976429503092523,23767.0,102.12.16
9396,7.929800160768698,53493.0,102.12.17
9411,7.734974392863043,60530.0,102.12.18
9426,7.447948600431158,58911.0,102.12.19
9441,7.362409790277532,61939.0,102.12.20
9456,7.37718365232232,65624.0,102.12.21
9477,7.33772961751384,31792.0,102.12.21
9480,8.067525310381127,32299.0,102.12.23
9501,8.119036939736647,62426.0,102.12.24
9516,8.445499568358398,66027.0,102.12.25
9531,8.894418060430864,72645.0,102.12.26
9546,8.756232385737043,65288.0,102.12.27
9561,8.532736463199816,65285.0,102.12.28
9583,8.713537640846987,36742.0,102.12.28
9585,9.288919001617344,45754.0,102.12.30
9606,9.348327148582456,101055.0,102.12.31
9621,9.14697375601528,80628.0,103.01.01
9636,8.452916197069715,49688.0,103.01.02
9651,8.279061743456795,52459.0,103.01.03
9666,8.104595985070109,49565.0,103.01.04
9688,7.9,21467.0,103.01.04
