,P,Q,t
1186,10.306507278918016,94863.0,101.04.08
1202,10.40618461130976,45306.0,101.04.08
1214,10.272442977190876,49980.0,101.04.10
1226,9.668504157619298,99937.0,101.04.11
1240,9.618310621884774,90483.0,101.04.12
1253,9.7838472286912,85880.0,101.04.13
1266,9.481815046445323,86984.0,101.04.14
1277,9.617747230201068,82858.0,101.04.15
1293,9.578657708353548,41228.0,101.04.15
1305,10.647867768595043,42350.0,101.04.17
1318,10.40150276637516,84045.0,101.04.18
1331,10.260294815799467,84256.0,101.04.19
1343,10.628602542673354,78972.0,101.04.20
1356,10.792669988938975,84079.0,101.04.21
1366,11.611864144842423,84119.0,101.04.22
1381,12.824591917917203,36451.0,101.04.22
1393,11.331202388305538,48570.0,101.04.24
1405,10.9409521024377,95746.0,101.04.25
1419,10.56716648340053,90033.0,101.04.26
1432,11.140276303118595,80998.0,101.04.27
1445,11.771052240837438,80818.0,101.04.28
1456,12.15666598455006,78188.0,101.04.29
1472,12.59707696206809,35511.0,101.04.29
1484,15.33893010768209,34639.0,101.05.01
1497,15.417324835571018,73588.0,101.05.02
1510,15.615708675473046,78428.0,101.05.03
1523,15.961723627556513,74320.0,101.05.04
1536,17.26581378388234,65816.0,101.05.05
1547,18.23952190379809,65217.0,101.05.06
1563,18.046010747035808,34242.0,101.05.06
1575,19.463347533413543,30751.0,101.05.08
1588,18.67544121119112,67768.0,101.05.09
1601,18.71013629595693,69848.0,101.05.10
1614,19.51457764832133,65230.0,101.05.11
1627,19.774176822123277,68272.0,101.05.12
1637,19.429550513698636,70080.0,101.05.13
1654,18.84849592188733,34207.0,101.05.13
1666,20.026646939729016,32105.0,101.05.15
1679,19.908049918141664,64746.0,101.05.16
1692,19.810416183630885,69008.0,101.05.17
1705,19.39017473426112,74227.0,101.05.18
1718,19.082269043760128,74040.0,101.05.19
1729,19.3821299238785,67655.0,101.05.20
1745,19.591904686258932,31475.0,101.05.20
1757,23.18097157592104,33739.0,101.05.22
1770,23.22727966246828,64231.0,101.05.23
1783,23.65105263157895,62700.0,101.05.24
1794,24.19273264959416,63572.0,101.05.25
1808,24.157784497256525,58867.0,101.05.26
1818,23.730931976894563,57995.0,101.05.27
1834,23.581500065590973,30492.0,101.05.27
1845,25.629479369465557,31846.0,101.05.29
1859,24.727987869035093,64628.0,101.05.30
1871,23.4186099796334,66776.0,101.05.31
1885,23.189142982966608,63581.0,101.06.01
1897,23.776243779141875,63697.0,101.06.02
1909,24.307897034472376,66430.0,101.06.03
1922,24.530012376237625,32320.0,101.06.03
1933,24.24066330969392,37931.0,101.06.05
1945,23.66359927185989,79655.0,101.06.06
1957,22.0146862155696,81505.0,101.06.07
1969,19.71956298594806,84757.0,101.06.08
1981,19.16581615925058,85400.0,101.06.09
1993,19.898206365770932,76660.0,101.06.10
2008,20.17748095816315,36236.0,101.06.10
2019,23.060260797734248,33896.0,101.06.12
2031,23.63633633633633,75258.0,101.06.13
2043,23.66433667794021,88999.0,101.06.14
2055,22.46557760532151,90200.0,101.06.15
2067,20.99886932534142,88089.0,101.06.16
2079,20.40519862958761,87273.0,101.06.17
2092,20.325271276977983,41747.0,101.06.17
2103,23.30232454179705,40266.0,101.06.19
2114,25.036335403726707,70840.0,101.06.20
2127,23.796331082269838,73891.0,101.06.21
2139,22.20911647467073,77519.0,101.06.22
2150,22.61536153026308,71308.0,101.06.23
2157,23.12333333333333,51660.0,101.06.24
2169,26.14206403737804,14554.0,101.06.24
2189,23.453299021038383,37693.0,101.06.27
2201,23.26258698119725,81052.0,101.06.28
2213,22.10697168512283,86421.0,101.06.29
2225,21.083765411042343,82084.0,101.06.30
2237,21.3690292321426,70573.0,101.07.01
2250,21.75808373744097,31551.0,101.07.01
2261,24.03298421858858,28071.0,101.07.03
2273,23.87261492484838,56885.0,101.07.04
2285,24.743646326462148,53654.0,101.07.05
2297,26.10649048583402,49873.0,101.07.06
2309,26.299732129751945,54504.0,101.07.07
2320,26.172409303940288,57610.0,101.07.08
2334,26.018305554568396,28139.0,101.07.08
2345,24.718742835307605,31404.0,101.07.10
2357,23.973303610892245,52037.0,101.07.11
2369,22.924122979083645,48431.0,101.07.12
2381,24.39196059805056,48424.0,101.07.13
2393,28.648496602900785,41506.0,101.07.14
2404,30.85193212605161,49091.0,101.07.15
2417,30.754570912055577,28211.0,101.07.15
2428,31.427072486984382,24970.0,101.07.17
2440,31.66757763707628,46434.0,101.07.18
2452,32.254213229297534,45369.0,101.07.19
2464,30.68829244808193,45697.0,101.07.20
2476,29.438379371178616,41379.0,101.07.21
2486,30.74334164467791,41309.0,101.07.22
2500,31.14749102292606,21722.0,101.07.22
2511,28.732590328959198,27815.0,101.07.24
2523,27.68742992185748,57971.0,101.07.25
2535,27.42193125430113,55218.0,101.07.26
2547,26.877486673866844,57406.0,101.07.27
2559,26.915243259527035,53112.0,101.07.28
2571,28.173844004304893,52963.0,101.07.29
2584,27.86969094579904,32195.0,101.07.29
2595,27.671699632417297,28565.0,101.07.31
2607,29.942751789063493,54917.0,101.08.01
2618,31.4101563328596,47143.0,101.08.02
2630,31.645440352179367,39071.0,101.08.03
2643,34.6288670199344,39630.0,101.08.04
2655,32.087516668741,56243.0,101.08.05
2668,29.86072278107357,34893.0,101.08.05
2679,32.54251798004794,25862.0,101.08.07
2691,30.99454740571662,58706.0,101.08.08
2703,27.80157938099457,64329.0,101.08.09
2715,27.707868503158053,52564.0,101.08.10
2727,31.159963090900483,42266.0,101.08.11
2738,30.89806891078632,45363.0,101.08.12
