,P,Q,t
1018,12.448585584145755,12514.0,101.03.24
1023,11.198806860551828,18103.5,101.03.26
1044,11.020105227969712,34401.5,101.03.27
1057,10.126888867326477,30918.0,101.03.28
1070,10.103262161229733,26087.0,101.03.29
1083,11.351187800963084,24920.0,101.03.30
1096,10.402951973080452,32690.0,101.03.31
1109,9.566569631439414,19237.0,101.03.31
1119,9.533601222104146,22584.0,101.04.02
1134,10.326668632333028,45786.0,101.04.03
1147,11.09861218860443,23202.0,101.04.03
1165,8.838551561950263,27001.5,101.04.06
1178,8.098279474380389,51786.5,101.04.07
1191,7.291805527536816,24785.0,101.04.07
1196,6.632621725226084,23608.5,101.04.09
1217,6.715319419567531,38523.0,101.04.10
1229,7.428267542768016,30133.5,101.04.11
1243,9.084631535611363,24290.0,101.04.12
1256,10.09441016839078,21557.0,101.04.13
1269,10.153138867273755,23774.5,101.04.14
1282,10.870762280196658,11288.5,101.04.14
1287,11.933543333900902,14682.5,101.04.16
1308,10.336884036588964,32195.5,101.04.17
1321,7.7131709643929405,35639.0,101.04.18
1334,6.404247054253529,30892.0,101.04.19
1346,7.231944086812581,27185.0,101.04.20
1359,6.6719979458503325,35051.0,101.04.21
1371,5.70943195036836,20632.0,101.04.21
1375,4.443784744610773,28691.5,101.04.23
1396,4.099244024458032,49472.5,101.04.24
1408,4.201939600884436,35729.0,101.04.25
1422,5.735841374118936,29226.0,101.04.26
1435,6.00332244154592,37337.0,101.04.27
1448,5.922826877507449,42623.0,101.04.28
1461,6.190359844612553,19564.0,101.04.28
1466,6.326951263465619,24971.0,101.04.30
1487,5.825189348158892,49644.0,101.05.01
1500,5.207965474722564,48660.0,101.05.02
1513,5.561626565237833,46798.0,101.05.03
1526,6.993828994681653,46443.0,101.05.04
1539,8.19936491341245,44954.5,101.05.05
1552,8.5277406495486,21322.5,101.05.05
1557,11.153021841029222,20054.0,101.05.07
1578,11.182457539469915,40125.5,101.05.08
1591,10.083264764432649,41442.5,101.05.09
1604,9.270616417369988,35901.0,101.05.10
1617,10.09747617366749,36829.0,101.05.11
1630,12.34280352740608,40766.5,101.05.12
1643,14.68962501692162,18467.5,101.05.12
1648,16.44326449787836,17675.0,101.05.14
1669,15.791691012471336,31833.0,101.05.15
1682,14.42834515848169,26990.5,101.05.16
1695,14.538333739540176,24618.0,101.05.17
1708,16.15871947702365,23404.5,101.05.18
1721,17.800992394569057,28466.5,101.05.19
1734,18.3459771479448,16847.5,101.05.19
1739,14.50919667478513,24840.5,101.05.21
1760,15.084033226669002,45626.0,101.05.22
1773,15.470093646756828,42073.0,101.05.23
1786,16.188974909656757,38879.5,101.05.24
1797,18.65566388057477,40259.5,101.05.25
1811,19.828436615287824,42916.5,101.05.26
1823,20.06290681021285,20249.0,101.05.26
1828,19.929742273131232,20254.0,101.05.28
1848,17.9077440521148,42368.0,101.05.29
1862,15.787189247368284,38093.0,101.05.30
1874,15.84491536940011,33114.5,101.05.31
1888,17.28156164264251,34444.5,101.06.01
1900,19.028942086584344,37616.5,101.06.02
1913,19.64401329558045,20307.5,101.06.02
1916,16.47650836214805,21256.5,101.06.04
1936,16.182719824960525,40219.5,101.06.05
1948,14.729330418147033,36590.0,101.06.06
1960,11.852533603121838,34595.0,101.06.07
1972,9.933490579858772,34129.0,101.06.08
1984,11.653013368397984,31941.0,101.06.09
1998,13.863937753721244,14780.0,101.06.09
2001,15.393696373412652,17482.0,101.06.11
2022,14.715322125691074,35452.0,101.06.12
2034,16.450516754081303,35558.5,101.06.13
2046,18.09023487524452,35529.5,101.06.14
2058,15.910947782932354,37076.0,101.06.15
2070,10.63649710601854,42502.0,101.06.16
2082,7.382821928360508,23367.0,101.06.16
2085,15.108249161986372,22523.5,101.06.18
2106,16.91754009931054,41989.5,101.06.19
2117,17.183036403858996,38196.5,101.06.20
2130,14.134787536290386,32205.5,101.06.21
2142,12.078740615084977,31833.0,101.06.22
2154,11.741371609107746,18358.0,101.06.22
2168,21.10311167945439,11730.0,101.06.25
2180,21.78252098680829,23348.0,101.06.26
2192,25.123969035217662,20927.0,101.06.27
2204,30.57218098958333,15360.0,101.06.28
2216,26.737253547193088,20262.5,101.06.29
2228,21.43715397845569,27617.5,101.06.30
2240,19.031418767715945,13406.0,101.06.30
2243,25.05472408026756,11960.0,101.07.02
2264,25.700880521864228,20158.5,101.07.03
2276,25.495957154791743,16758.0,101.07.04
2287,25.309653518615303,16263.5,101.07.05
2300,26.336426914153133,18102.0,101.07.06
2312,27.96571822970955,17748.5,101.07.07
2324,30.257336235630227,7350.5,101.07.07
2327,27.397361794881427,13304.5,101.07.09
2348,28.434025555014973,19526.5,101.07.10
2360,29.998696120007597,15799.0,101.07.11
2372,28.367685668045315,16683.0,101.07.12
2384,26.640059920106527,15020.0,101.07.13
2396,28.077803258901625,16570.0,101.07.14
2408,29.474699630314237,8656.0,101.07.14
2411,35.54213766862677,7227.5,101.07.16
2431,33.20841779184485,14849.5,101.07.17
2443,32.46386236944961,15607.0,101.07.18
2455,33.94638774186943,14651.5,101.07.19
2467,34.36430266704211,12429.5,101.07.20
2479,34.82902633992924,15262.0,101.07.21
2491,34.88568270344247,9499.0,101.07.21
2494,33.51459943066287,9836.0,101.07.23
2514,30.41424931447014,20604.5,101.07.24
2526,28.018753167764824,17757.0,101.07.25
2538,29.0995216174745,16618.5,101.07.26
2550,28.6943415034596,17054.0,101.07.27
2562,30.268490595367638,16082.5,101.07.28
2574,32.39844083848242,8658.5,101.07.28
2577,35.26492102492102,14245.0,101.07.30
2598,32.89662056345923,30330.5,101.07.31
2610,30.875352313573348,26290.5,101.08.01
2621,31.427056619618227,15480.5,101.08.02
2633,28.86286819813853,14343.5,101.08.03
2646,27.28785853976532,18408.0,101.08.04
2658,27.67886509635974,9340.0,101.08.04
2661,28.02940249844305,13648.5,101.08.06
2682,27.75106503958361,22863.0,101.08.07
2694,25.637995337995346,20592.0,101.08.08
2706,24.55851811922672,20406.5,101.08.09
2718,26.26972886062998,13683.0,101.08.10
