,P,Q,t
1026,6.479344867358708,21675.0,101.03.25
1034,6.198641243149913,26642.0,101.03.27
1047,6.474285528285917,46083.0,101.03.28
1060,6.866660561021561,38216.0,101.03.29
1073,6.92854121517533,38299.0,101.03.30
1086,7.00290264015574,45717.0,101.03.31
1099,5.937731557242914,61108.0,101.04.01
1112,5.16891333322086,59273.0,101.04.02
1125,5.390249387213565,44469.0,101.04.03
1141,5.577216448709661,20111.0,101.04.03
1156,4.94976903070533,25761.0,101.04.06
1168,5.872957746478872,40470.0,101.04.07
1181,7.067959663095169,34906.0,101.04.08
1199,6.760736743080654,20197.0,101.04.08
1207,6.22001638001638,24420.0,101.04.10
1220,6.224739723914552,38901.0,101.04.11
1233,5.9633551583790485,28255.0,101.04.12
1246,5.108644842310285,26698.0,101.04.13
1259,5.097989372396954,27852.0,101.04.14
1272,6.10982895233304,31804.0,101.04.15
1290,6.546551315477601,16876.0,101.04.15
1298,7.118203247773703,15272.0,101.04.17
1311,7.531573064155546,29522.0,101.04.18
1324,7.392927371896082,27868.0,101.04.19
1337,7.061841715663466,23641.0,101.04.20
1350,6.670357894736843,28500.0,101.04.21
1362,6.592187377190914,25446.0,101.04.22
1378,7.490371645860237,6969.0,101.04.22
1386,5.390036637492368,19652.0,101.04.24
1399,5.85193256935023,34643.0,101.04.25
1412,6.542636960170914,26212.0,101.04.26
1425,7.075696152710814,20326.0,101.04.27
1438,6.739801603916391,31049.0,101.04.28
1451,6.676545842217484,36582.0,101.04.29
1469,7.112023500478206,14638.0,101.04.29
1477,12.22311398113981,9756.0,101.05.01
1490,11.669450051696126,20311.0,101.05.02
1503,11.69501219343855,21733.0,101.05.03
1516,11.367821824748477,23258.0,101.05.04
1529,13.533208514795064,24569.0,101.05.05
1542,13.223318086814286,33013.0,101.05.06
1560,11.305720132527773,20524.0,101.05.06
1568,12.656385015039648,14628.0,101.05.08
1581,12.979692472733774,27965.0,101.05.09
1594,13.70920701754386,21375.0,101.05.10
1607,14.995116537180907,16218.0,101.05.11
1620,16.55873342051186,21412.0,101.05.12
1633,15.877429983525536,25494.0,101.05.13
1651,14.534301092807048,12262.0,101.05.13
1659,15.675618374558304,9905.0,101.05.15
1672,15.07671607753706,21925.0,101.05.16
1685,14.246176544979344,23722.0,101.05.17
1698,13.487467210725738,13724.0,101.05.18
1711,16.214512413616585,7814.0,101.05.19
1724,18.671794871794877,9984.0,101.05.20
1742,19.6,4192.0,101.05.20
1750,19.9,5139.0,101.05.22
1763,20.579426660296228,10465.0,101.05.23
1776,20.13617551544445,13241.0,101.05.24
1789,19.50532706619663,15318.0,101.05.25
1802,19.298874636979672,16528.0,101.05.26
1814,18.24199956101844,18224.0,101.05.27
