,P,Q,t
1209,6.728430110986007,24868.0,101.04.10
1221,6.596051654426933,48476.0,101.04.11
1235,6.2242384908272745,46224.0,101.04.12
1248,5.554822616407982,46904.0,101.04.13
1261,5.257284670299496,47346.0,101.04.14
1273,5.573405352320158,40730.0,101.04.15
1291,5.848528746038932,17672.0,101.04.15
1300,7.169304556354915,15012.0,101.04.17
1313,7.09954227061516,28838.0,101.04.18
1326,7.216767558894319,27422.0,101.04.19
1338,7.166975630077068,28806.0,101.04.20
1351,6.6591385906454414,40515.0,101.04.21
1363,6.799761882956315,43676.0,101.04.22
1379,7.231838223286702,18371.0,101.04.22
1388,6.421772220712149,22074.0,101.04.24
1400,6.15403122938201,45470.0,101.04.25
1414,5.836468463118304,40413.0,101.04.26
1427,6.577850903434247,25071.0,101.04.27
1440,8.203398828745005,18271.0,101.04.28
1452,9.165211440603612,28495.0,101.04.29
1470,9.75993544151439,18278.0,101.04.29
1479,11.158924452133792,13872.0,101.05.01
1492,10.207900809156078,32503.0,101.05.02
1505,9.621907072735386,35856.0,101.05.03
1518,9.476285175992103,33439.0,101.05.04
1531,9.457758620689653,29000.0,101.05.05
1543,10.17577056542152,24495.0,101.05.06
1561,10.576966436074816,11709.0,101.05.06
1570,13.856235081076631,12149.0,101.05.08
1583,12.722320925868004,31970.0,101.05.09
1596,12.760234863504651,32785.0,101.05.10
1609,13.856170061054415,22439.0,101.05.11
1622,14.70111735044694,17452.0,101.05.12
1634,15.847463700957675,16185.0,101.05.13
1652,15.947222222222225,8208.0,101.05.13
1661,17.6633741888969,11096.0,101.05.15
1674,16.843741493611976,22777.0,101.05.16
1687,16.28718009855349,25164.0,101.05.17
1700,16.045191957603468,24719.0,101.05.18
1713,15.814880952380951,24864.0,101.05.19
1725,16.364083127501914,23482.0,101.05.20
1743,16.791942358433126,9854.0,101.05.20
1752,16.00041373603641,9668.0,101.05.22
1765,17.37302590732065,17717.0,101.05.23
1778,21.08540641988092,15452.0,101.05.24
1791,22.420388261441467,22047.0,101.05.25
1804,21.47443014169449,30841.0,101.05.26
1815,20.54211684953525,28618.0,101.05.27
1832,19.9,12421.0,101.05.27
1841,21.118091314795745,2913.0,101.05.29
1854,19.61951867126151,17701.0,101.05.30
1867,18.403060227889316,27645.0,101.05.31
1880,16.415280672268906,29750.0,101.06.01
1893,15.465585875774888,32908.0,101.06.02
1905,16.619521898071827,27902.0,101.06.03
1920,18.519937747118707,11887.0,101.06.03
1929,17.16019719771666,13489.0,101.06.05
1941,16.295893915756626,32050.0,101.06.06
1953,15.013870703764322,39104.0,101.06.07
1965,13.567716382839569,41281.0,101.06.08
1976,12.606529926572197,36907.0,101.06.09
1990,12.478269553122438,28039.0,101.06.10
2006,12.502527379949452,11870.0,101.06.10
2015,20.36759002770083,7220.0,101.06.12
2027,21.96022682831443,15342.0,101.06.13
2039,20.790539258322134,25294.0,101.06.14
2051,17.923175285426463,37225.0,101.06.15
2063,15.498670622599418,43479.0,101.06.16
2075,13.60731995804414,44809.0,101.06.17
2090,12.488322499181592,21383.0,101.06.17
2099,20.37470322886989,25272.0,101.06.19
2111,20.188101551245374,47897.0,101.06.20
2123,18.85552378664104,41620.0,101.06.21
2135,18.05441805441805,32967.0,101.06.22
2147,16.415888477432514,37266.0,101.06.23
2162,14.994479265046794,23294.0,101.06.23
2174,15.902455128801265,21506.0,101.06.26
2185,15.991229771049294,40227.0,101.06.27
